,date,mktrf,smb,hml,rf,year,month,umd,net_ret_ew,gross_ret_ew,net_ret_vw,gross_ret_vw
0,1984-01-31,-1.92,-0.37,7.57,0.76,198400.0,100.0,-2.56,-4.912430967044931,-4.839647279101669,-5.140813347497974,-5.079979300735534
1,1984-02-29,-4.82,-1.69,3.34,0.7100000000000001,198400.0,200.0,0.22,-2.8850212404418034,-2.8850212404418034,-2.8850212404418034,-2.8850212404418034
2,1984-03-30,0.63,0.07,0.4699999999999999,0.73,198400.0,300.0,1.0699999999999998,1.6497116553760591,1.6497116553760591,1.6497116553760591,1.6497116553760591
3,1984-04-30,-0.51,-1.16,1.1900000000000002,0.8100000000000002,198400.0,400.0,2.07,-1.2819572348830164,-1.209158089583871,-1.2316731970374521,-1.1674614503357397
4,1984-05-31,-5.970000000000001,0.07,0.29,0.7800000000000001,198400.0,500.0,1.51,-6.992355876785405,-6.992355876785405,-6.992355876785405,-6.992355876785405
5,1984-06-29,1.82,-0.31,-2.6599999999999997,0.75,198400.0,600.0,-0.7,1.3967889908256912,1.3967889908256912,1.3967889908256912,1.3967889908256912
6,1984-07-31,-2.74,-2.21,0.33,0.8199999999999998,198400.0,700.0,2.83,-3.8882692972478585,-3.815972549280379,-3.361417464538821,-3.2975498175235978
7,1984-08-31,10.280000000000001,-0.24,-1.7999999999999998,0.83,198400.0,800.0,-5.59,11.519341739291681,11.519341739291681,11.519341739291681,11.519341739291681
8,1984-09-28,-0.8,0.18,5.230000000000001,0.86,198400.0,900.0,3.62,-2.1473411454035336,-2.1473411454035336,-2.1473411454035336,-2.1473411454035336
9,1984-10-31,-0.84,-1.23,0.4699999999999999,1.0,198400.0,1000.0,3.16,-1.4137719700920721,-1.3431965732666755,-0.9607648477638179,-0.896484869756326
10,1984-11-30,-1.76,-0.63,4.04,0.73,198400.0,1100.0,1.6400000000000001,-1.6841345831938404,-1.6841345831938404,-1.6841345831938404,-1.6841345831938404
11,1984-12-31,1.8399999999999999,-0.56,-0.25,0.64,198400.0,1200.0,1.49,1.681937661286354,1.681937661286354,1.758881970785852,1.758881970785852
12,1985-01-31,7.99,3.3000000000000003,-5.33,0.65,198500.0,100.0,-6.819999999999999,9.403729357193322,9.482367177706148,9.271970266550767,9.340291520397997
13,1985-02-28,1.22,0.8,-0.1,0.58,198500.0,200.0,1.8800000000000001,-0.9305028954587076,-0.9305028954587076,-0.9305028954587076,-0.9305028954587076
14,1985-03-29,-0.84,-1.0699999999999998,4.07,0.62,198500.0,300.0,1.58,-2.3633858388132754,-2.3633858388132754,-2.3633858388132754,-2.3633858388132754
15,1985-04-30,-0.96,0.15,3.7199999999999998,0.72,198500.0,400.0,3.04,-1.8054583386188519,-1.7310138941744073,-1.5656608993028218,-1.496372609250259
16,1985-05-31,5.09,-2.22,-0.9399999999999998,0.66,198500.0,500.0,3.9899999999999998,3.1556050459430045,3.1556050459430045,3.1556050459430045,3.1556050459430045
17,1985-06-28,1.27,0.52,0.40999999999999986,0.5500000000000002,198500.0,600.0,3.5700000000000003,1.505205520552062,1.505205520552062,1.505205520552062,1.505205520552062
18,1985-07-31,-0.74,2.85,-1.6,0.62,198500.0,700.0,-3.91,0.2590390633190037,0.3366839908552356,0.1300857661429961,0.20104315675113826
19,1985-08-30,-1.02,-0.31,2.2800000000000002,0.5500000000000002,198500.0,800.0,1.8499999999999999,-2.236291612152945,-2.236291612152945,-2.236291612152945,-2.236291612152945
20,1985-09-30,-4.54,-1.59,1.29,0.6,198500.0,900.0,1.51,-4.784533491054264,-4.784533491054264,-4.784533491054264,-4.784533491054264
21,1985-10-31,4.02,-1.51,0.75,0.65,198500.0,1000.0,4.88,3.9911619559564895,4.062438551701172,4.505347439017488,4.574777247060402
22,1985-11-29,6.480000000000001,0.25,-2.8400000000000003,0.61,198500.0,1100.0,-0.4699999999999999,7.843155397787573,7.843155397787573,7.843155397787573,7.843155397787573
23,1985-12-31,3.88,-0.51,-1.54,0.65,198500.0,1200.0,-0.22999999999999998,3.81849053412723,3.81849053412723,3.4465478413450255,3.4465478413450255
24,1986-01-31,0.65,1.21,0.44,0.56,198600.0,100.0,3.0,1.6742303485404353,1.7579059437785303,2.1034976272543497,2.179723884509212
25,1986-02-28,7.13,-0.56,-0.77,0.53,198600.0,200.0,2.76,6.620995475256467,6.620995475256467,6.620995475256467,6.620995475256467
26,1986-03-31,4.88,-0.58,-0.37,0.6,198600.0,300.0,2.41,3.028090025827085,3.028090025827085,3.028090025827085,3.028090025827085
27,1986-04-30,-1.31,2.78,-2.86,0.52,198600.0,400.0,-0.36,-0.7817812708250198,-0.7021819118506608,-0.4241343831626958,-0.34632891913206004
28,1986-05-30,4.62,-1.35,-0.21,0.49,198600.0,500.0,2.0500000000000003,3.7741944584940796,3.7741944584940796,3.7741944584940796,3.7741944584940796
29,1986-06-30,1.03,-0.95,1.3,0.52,198600.0,600.0,5.07,-1.2984773898110962,-1.2984773898110962,-1.2984773898110962,-1.2984773898110962
30,1986-07-31,-6.45,-3.36,4.7,0.52,198600.0,700.0,1.8499999999999999,-7.95059588069724,-7.87249839642051,-7.3846253507399835,-7.305592480025262
31,1986-08-29,6.069999999999999,-4.17,3.51,0.45999999999999996,198600.0,800.0,-5.28,7.441882488153487,7.441882488153487,7.441882488153487,7.441882488153487
32,1986-09-30,-8.6,2.36,3.2199999999999998,0.4500000000000001,198600.0,900.0,-5.79,-9.285841158502096,-9.285841158502096,-9.285841158502096,-9.285841158502096
